index,chembl_id,smiles,ic50,mw
49,CHEMBL3628062,COc1ccc2[nH]cc(CCNC(=O)c3cc[n+](Cc4ccccc4F)cc3)c2c1.[Br-],6800,484.37
50,CHEMBL3628063,COc1ccc2[nH]cc(CCNC(=O)c3cc[n+](Cc4cccc(F)c4)cc3)c2c1.[Br-],7900,484.37
51,CHEMBL3628064,COc1ccc2[nH]cc(CCNC(=O)c3cc[n+](Cc4ccc(F)cc4)cc3)c2c1.[Br-],7500,484.37
52,CHEMBL3824057,O=C(NCCc1c[nH]c2ccccc12)C1CCN(Cc2ccccc2)CC1,2000,361.49
53,CHEMBL3393679,C=CC[C@H]1NC[C@@H](O)[C@H](OCc2ccccc2)[C@H]1O,61000,263.34
54,CHEMBL129837,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,50,379.5
55,CHEMBL3356531,O=C1C=C(NCCCNc2c3c(nc4ccccc24)CCCC3)C(=O)c2ccccc21,19.1,411.51
56,CHEMBL3338945,Fc1ccc(-c2nn3c(-c4cccnc4)nnc3s2)cc1Cl,10300,331.76
57,CHEMBL3335023,CCN(C)C(=O)Oc1cc(C(C)N(C)C)cc2oc(=O)c3ccccc3c12.Cl,12700,404.89
58,CHEMBL600622,CCCNC(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)NCCC,10400,316.35
59,CHEMBL3116280,COc1ccc(COc2nn(CCN(C(C)C)C(C)C)c3ccccc23)cc1,4800,381.52
60,CHEMBL3948367,COc1ccc(/C=C/C(=O)c2cccc(OC(=O)N(C)C)c2)cc1,3370,325.36
61,CHEMBL3930610,CCN(C)C(=O)Oc1ccc(/C=C/C(=O)c2cccc(O)c2)cc1,5600,325.36
62,CHEMBL3943450,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3F)CC1)C2,12800,397.49
63,CHEMBL3900401,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ncc(C)cc3C)CC1)C2,8550,408.54
64,CHEMBL3986738,CCCc1n[nH]c2c1C(c1ccc([N+](=O)[O-])cc1)c1c(nc3c(c1N)CCCC3)O2,29,405.46
65,CHEMBL3356528,COc1ccc2nc3c(c(NCCNC4=CC(=O)c5ccccc5C4=O)c2c1)CCCC3,501,427.5
66,CHEMBL3356532,O=C1C=C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21,256,431.92
67,CHEMBL3356534,O=C1C(NCCNc2c3c(nc4ccccc24)CCCC3)=CC(=O)c2c(O)cccc21,41.4,413.48
68,CHEMBL3356540,COc1ccc2nc3c(c(NCCNC4=C(Cl)C(=O)c5ccccc5C4=O)c2c1)CCCC3,970,461.95
69,CHEMBL317359,Cc1cccc2c1OP(=O)(OCC1CCC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,1000,408.35
70,CHEMBL1784955,C[C@@H](c1cccc(OC(=O)N(C)[C@@H](C)Cc2ccccc2)c1)N(C)C.Cl,334,376.93
